areaCode,Geometry
E02002625,"{""coordinates"":[[[-2.45496187546708,53.7338637337068],[-2.44416853351213,53.7322478941756],[-2.43988454370145,53.7359566454826],[-2.43858616008815,53.7322833809593],[-2.45781899828871,53.7170261423952],[-2.46485645565526,53.7153138089164],[-2.46676882667665,53.7205140637696],[-2.47645383146435,53.723748483399],[-2.47779787240597,53.7241420836969],[-2.48176175507462,53.7258774993093],[-2.4818707085604,53.7259459512696],[-2.48517311072944,53.7288176394384],[-2.48703357400009,53.7320729154755],[-2.47797738361686,53.7350104885408],[-2.47475793929624,53.7363055184089],[-2.47010544253292,53.7402490699721],[-2.45709987209897,53.7420228666391],[-2.46245297955124,53.7431144068343],[-2.4620295558252,53.7431895607476],[-2.45668326412963,53.7441428528446],[-2.45453618197367,53.7409935199968],[-2.45388033547283,53.7365740352574],[-2.45496187546708,53.7338637337068]]],""type"":""Polygon""}"
E02002626,"{""coordinates"":[[[-2.5013013095367,53.7217525119631],[-2.50626391713348,53.7179431711585],[-2.51351979947428,53.7189748241662],[-2.51408059981757,53.7216754911177],[-2.51536475266739,53.7276973375476],[-2.51665341378729,53.7302431120295],[-2.51817740918688,53.7330569988603],[-2.52236935438464,53.7372809317992],[-2.5132402672361,53.738060151897],[-2.51198234995905,53.7338914563959],[-2.50428126603298,53.7324125665128],[-2.50341445736106,53.7319943949382],[-2.50059418889201,53.7311813262131],[-2.4997708464502,53.7285490750875],[-2.49938796915698,53.7234715907861],[-2.5013013095367,53.7217525119631]]],""type"":""Polygon""}"
E02002627,"{""coordinates"":[[[-2.46676882667665,53.7205140637696],[-2.46485645565526,53.7153138089164],[-2.47062322238329,53.7154476937557],[-2.47881766608848,53.7159595022122],[-2.48378718042739,53.7163025231898],[-2.50285705870057,53.7137168399776],[-2.50626391713348,53.7179431711585],[-2.5013013095367,53.7217525119631],[-2.49938796915698,53.7234715907861],[-2.49977084796581,53.7285490750812],[-2.50059418889201,53.7311813262131],[-2.49654410235134,53.7315822733548],[-2.48517311072944,53.7288176394384],[-2.4818707085604,53.7259459512696],[-2.48176175507462,53.7258774993093],[-2.47779787240597,53.7241420836969],[-2.47645383146435,53.723748483399],[-2.46676882667665,53.7205140637696]]],""type"":""Polygon""}"
E02002628,"{""coordinates"":[[[-2.4592102867037,53.7064369542313],[-2.473476313133,53.7008410479035],[-2.47663300611877,53.7041106767031],[-2.47957428572169,53.7052875268489],[-2.48235385940969,53.7005967050651],[-2.47804429631786,53.699903917721],[-2.47424097027254,53.6951223214358],[-2.47844699756045,53.6979965629847],[-2.49164344148869,53.6928793869776],[-2.50044439844513,53.6957689414203],[-2.49039551796891,53.7017900793169],[-2.50285705870057,53.7137168399776],[-2.48378718042739,53.7163025231898],[-2.47881766608848,53.7159595022122],[-2.47062322238329,53.7154476937557],[-2.46997474123537,53.7088085985884],[-2.46984618238678,53.7086585013396],[-2.45916185532537,53.7066288375148],[-2.4592102867037,53.7064369542313]]],""type"":""Polygon""}"
E02002629,"{""coordinates"":[[[-2.4607132585142,53.6943569438085],[-2.45892515170272,53.690611137496],[-2.46129652608316,53.6926865229898],[-2.46218166802946,53.6948196938001],[-2.46305870824921,53.6965596357976],[-2.46373650607026,53.6973851113578],[-2.46555425769035,53.7002331026242],[-2.45961711837998,53.701792943124],[-2.4592102867037,53.7064369542313],[-2.45916185532537,53.7066288375148],[-2.44650694482263,53.7001020862054],[-2.44166364972827,53.695499724068],[-2.45210648564941,53.6944964613287],[-2.4607132585142,53.6943569438085]]],""type"":""Polygon""}"
E02002630,"{""coordinates"":[[[-2.45961711837998,53.701792943124],[-2.46555425769035,53.7002331026242],[-2.46373650607026,53.6973851113578],[-2.46305870824921,53.6965596357976],[-2.46218166802946,53.6948196938001],[-2.46129652608316,53.6926865229898],[-2.46608526810956,53.6903627065471],[-2.46984648151001,53.6895620950133],[-2.47037977389512,53.6893574584806],[-2.49709120324746,53.6778081101392],[-2.49446779792682,53.6833683800869],[-2.50252353585745,53.69144110828],[-2.50044439844513,53.6957689414203],[-2.49164344148869,53.6928793869776],[-2.47844699756045,53.6979965629847],[-2.47424097027254,53.6951223214358],[-2.47804429631786,53.699903917721],[-2.48235385940969,53.7005967050651],[-2.47957428572169,53.7052875268489],[-2.47663300611877,53.7041106767031],[-2.473476313133,53.7008410479035],[-2.4592102867037,53.7064369542313],[-2.45961711837998,53.701792943124]]],""type"":""Polygon""}"
E02002631,"{""coordinates"":[[[-2.44016054962638,53.6934636205433],[-2.42305172943248,53.6733209279745],[-2.42531189772106,53.6716753929998],[-2.43323378126711,53.6759098771593],[-2.44468463685837,53.6716617794613],[-2.44805180913821,53.6703121261364],[-2.44445025088748,53.6585628182805],[-2.449072966299,53.6601408862603],[-2.46027028626695,53.6643984056377],[-2.49284638170094,53.665332050547],[-2.49823748728369,53.6720373973055],[-2.49709120324746,53.6778081101392],[-2.47037977389512,53.6893574584806],[-2.46984648151001,53.6895620950133],[-2.46608526810956,53.6903627065471],[-2.46129652608316,53.6926865229898],[-2.45892515170272,53.690611137496],[-2.4607132585142,53.6943569438085],[-2.45210648564941,53.6944964613287],[-2.44166364972827,53.695499724068],[-2.44016054962638,53.6934636205433]]],""type"":""Polygon""}"
E02002632,"{""coordinates"":[[[-2.43290819636753,53.7195258235659],[-2.41834568614871,53.7114245045164],[-2.41996606641485,53.7083216515758],[-2.41098928779677,53.7051370093729],[-2.40313469340113,53.6964225323377],[-2.39152766855391,53.6886225895075],[-2.37442409465898,53.6872546262571],[-2.37593483124068,53.675641513728],[-2.37123622045703,53.6670806867695],[-2.36264123848914,53.6559887249152],[-2.37151525029044,53.6432836757765],[-2.37032792581276,53.631534384761],[-2.37913201835716,53.6308703206115],[-2.39784554373785,53.6322083074178],[-2.40120940109548,53.6245991421805],[-2.40528639397244,53.6251328474789],[-2.42298055289039,53.624653400131],[-2.42559901408516,53.6258788666863],[-2.42614357244044,53.6350103631094],[-2.43689317839226,53.6449114391293],[-2.44979452291468,53.641516799025],[-2.45066153608204,53.6277584886256],[-2.45828913665163,53.6246313277107],[-2.45378096559224,53.6219744819502],[-2.46601932487349,53.6216990680676],[-2.47302530500867,53.6165827433597],[-2.51038261186212,53.6263941252044],[-2.51132309598895,53.6269951179074],[-2.52006159300891,53.6304817450101],[-2.52375966949537,53.6391006025626],[-2.52201240163155,53.6474207152203],[-2.53234390216494,53.6649021373743],[-2.52554923424062,53.6746764991799],[-2.51917060644837,53.6762870829825],[-2.51537555792115,53.6916688154743],[-2.53193137150412,53.6964428494209],[-2.53960531108017,53.7021077960353],[-2.5432605570152,53.7098957550259],[-2.53944371546803,53.7145617960249],[-2.50285705870057,53.7137168399776],[-2.49039551796891,53.7017900793169],[-2.50044439844513,53.6957689414203],[-2.50252353585745,53.69144110828],[-2.49446779792682,53.6833683800869],[-2.49709120324746,53.6778081101392],[-2.49823748728369,53.6720373973055],[-2.49284638170094,53.665332050547],[-2.46027028626695,53.6643984056377],[-2.449072966299,53.6601408862603],[-2.44445025088748,53.6585628182805],[-2.44805180913821,53.6703121261364],[-2.44468463685837,53.6716617794613],[-2.43323378126711,53.6759098771593],[-2.42531189772106,53.6716753929998],[-2.42305172943248,53.6733209279745],[-2.44016054962638,53.6934636205433],[-2.44166364972827,53.695499724068],[-2.44650694482263,53.7001020862054],[-2.45916185532537,53.7066288375148],[-2.46984618238678,53.7086585013396],[-2.46997474123537,53.7088085985884],[-2.47062322238329,53.7154476937557],[-2.46485645565526,53.7153138089164],[-2.45781899828871,53.7170261423952],[-2.43858616008815,53.7322833809593],[-2.43306162467872,53.724026409792],[-2.43300531058764,53.7235478890124],[-2.43286886683412,53.7195504760224],[-2.43290819636753,53.7195258235659]]],""type"":""Polygon""}"
E02002633,"{""coordinates"":[[[-3.02182492738395,53.8687652935793],[-3.02890057201175,53.8655851232325],[-3.0345335792689,53.8677226670493],[-3.03314389680245,53.8657254644593],[-3.03553576793964,53.865640498934],[-3.03874923950235,53.8616140455688],[-3.04706372135692,53.8638541064028],[-3.04804268676552,53.8575625916779],[-3.05140115862865,53.857289504082],[-3.04922522492507,53.8660072685094],[-3.04795025589815,53.8757310058244],[-3.04287221081537,53.8754317677284],[-3.04268831706694,53.8754208626374],[-3.03067116786919,53.8740385315205],[-3.02843300857314,53.871608253412],[-3.02696497104986,53.8698812125783],[-3.02182492738395,53.8687652935793]]],""type"":""Polygon""}"
E02002634,"{""coordinates"":[[[-3.02182492738395,53.8687652935793],[-3.02286513265197,53.8628955174885],[-3.02261913882309,53.8617159652832],[-3.01434371971864,53.850207302742],[-3.01777042705479,53.8474121761073],[-3.02352332585017,53.849659817942],[-3.0298716103242,53.8473084946031],[-3.03468842991996,53.8523002596133],[-3.04108776811766,53.8518772521066],[-3.04061864277885,53.8554437882985],[-3.04055205593506,53.8562411174797],[-3.03874923950235,53.8616140455688],[-3.03553576793964,53.865640498934],[-3.03314389528209,53.8657254644724],[-3.0345335792689,53.8677226670493],[-3.02890057201175,53.8655851232325],[-3.02182492738395,53.8687652935793]]],""type"":""Polygon""}"
E02002635,"{""coordinates"":[[[-3.04120619917249,53.8427438922032],[-3.04345408584151,53.8423067762878],[-3.0436714354445,53.8389065944126],[-3.04839421799755,53.8387911144243],[-3.04874226853748,53.8423530081283],[-3.05427717285385,53.8412540636929],[-3.05573011582712,53.8412652954737],[-3.05379309603399,53.8510275992745],[-3.05140115862865,53.857289504082],[-3.04804268676552,53.8575625916779],[-3.04706372135692,53.8638541064028],[-3.03874923950235,53.8616140455688],[-3.04055205593506,53.8562411174797],[-3.04061864277885,53.8554437882985],[-3.04108776811766,53.8518772521066],[-3.04146534534372,53.8452959775136],[-3.04120619917249,53.8427438922032]]],""type"":""Polygon""}"
E02002636,"{""coordinates"":[[[-3.03468842991996,53.8523002596133],[-3.0298716103242,53.8473084946031],[-3.02352332585017,53.849659817942],[-3.01777042705479,53.8474121761073],[-3.01521669503451,53.842716427651],[-3.02044819027348,53.8407313503962],[-3.01906100977295,53.8371130297562],[-3.0155072757461,53.8407289675441],[-3.01153549957712,53.8371910843675],[-3.00998807998642,53.8360766818258],[-3.01686655028017,53.8350963951538],[-3.02585309441024,53.833239506082],[-3.02942349846668,53.8356640174448],[-3.03114467400429,53.8346132843729],[-3.03075956596481,53.8371296465439],[-3.03742297322759,53.8375219853074],[-3.04216023775638,53.8379095325236],[-3.04120619917249,53.8427438922032],[-3.04146534534372,53.8452959775136],[-3.04108776811766,53.8518772521066],[-3.03468842991996,53.8523002596133]]],""type"":""Polygon""}"
E02002637,"{""coordinates"":[[[-3.03075956596481,53.8371296465439],[-3.03114467400429,53.8346132843729],[-3.02942349846668,53.8356640174448],[-3.02585309441024,53.833239506082],[-3.02514438248148,53.8312147420887],[-3.03150691606734,53.8313902964197],[-3.03168789036689,53.8279840076516],[-3.03596022465411,53.8304564363775],[-3.03798251214242,53.8282132188874],[-3.03990418418578,53.8293840363976],[-3.04015494694143,53.8296889465395],[-3.04058096739166,53.8312299913278],[-3.04059290147393,53.831265221257],[-3.05061635080852,53.8304818847647],[-3.04406286531068,53.8319403963829],[-3.05010520048634,53.8319291737745],[-3.04912223799423,53.8348073386681],[-3.04950839796351,53.8377019502971],[-3.04839421799755,53.8387911144243],[-3.0436714354445,53.8389065944126],[-3.04345408584151,53.8423067762878],[-3.04120619917249,53.8427438922032],[-3.04216023775638,53.8379095325236],[-3.03742297322759,53.8375219853074],[-3.03075956596481,53.8371296465439]]],""type"":""Polygon""}"
E02002638,"{""coordinates"":[[[-3.04874226853748,53.8423530081283],[-3.04839421799755,53.8387911144243],[-3.04950839796351,53.8377019502971],[-3.04912223799423,53.8348073386681],[-3.05010520048634,53.8319291737745],[-3.04406286531068,53.8319403963829],[-3.05061635080852,53.8304818847647],[-3.04059290147393,53.831265221257],[-3.04058096739166,53.8312299913278],[-3.04818890307061,53.8279836665003],[-3.04893564083913,53.82623347679],[-3.05198909985507,53.826812279742],[-3.04812084265713,53.8251810400849],[-3.05285502186278,53.8238407005371],[-3.04683169115959,53.8231029079152],[-3.04746756264775,53.8223858050142],[-3.05579617802318,53.8189214814112],[-3.05662534044369,53.8191644722829],[-3.05647473370977,53.8287564547221],[-3.05573011582712,53.8412652954737],[-3.05427717285385,53.8412540636929],[-3.04874226853748,53.8423530081283]]],""type"":""Polygon""}"
E02002639,"{""coordinates"":[[[-3.00730049736998,53.8328128030946],[-3.01363357497409,53.8292285453218],[-3.01069935684056,53.8270876051624],[-3.01460762365386,53.8258755549894],[-3.0188918521099,53.8285440645151],[-3.02157646799072,53.8265562700099],[-3.02389601710355,53.827674245177],[-3.02322343964972,53.8255168138708],[-3.02883693871915,53.823218200063],[-3.02941133347687,53.8252854021793],[-3.02653876804932,53.8288114368971],[-3.03168789036689,53.8279840076516],[-3.03150691606734,53.8313902964197],[-3.02514438248148,53.8312147420887],[-3.02585309441024,53.833239506082],[-3.01686655028017,53.8350963951538],[-3.00998807998642,53.8360766818258],[-3.00730049736998,53.8328128030946]]],""type"":""Polygon""}"
E02002640,"{""coordinates"":[[[-3.03798251214242,53.8282132188874],[-3.03475247038754,53.8254676932725],[-3.03427370888619,53.8251231850594],[-3.03354811415869,53.8225962959054],[-3.03650425620495,53.8209822461607],[-3.03703334992938,53.8206533369495],[-3.03958007587048,53.8232253995041],[-3.04474520469405,53.8201612059354],[-3.04746756264775,53.8223858050142],[-3.04683169115959,53.8231029079152],[-3.05285502186278,53.8238407005371],[-3.04812084265713,53.8251810400849],[-3.05198909985507,53.826812279742],[-3.04893564083913,53.82623347679],[-3.04818890307061,53.8279836665003],[-3.04058096739166,53.8312299913278],[-3.04015494694143,53.8296889465395],[-3.03990418418578,53.8293840363976],[-3.03798251214242,53.8282132188874]]],""type"":""Polygon""}"
E02002641,"{""coordinates"":[[[-3.03596022465411,53.8304564363775],[-3.03168789036689,53.8279840076516],[-3.02653876653025,53.8288114369101],[-3.02941133347687,53.8252854021793],[-3.02883693874115,53.8232182009617],[-3.02322343964972,53.8255168138708],[-3.02389601710355,53.827674245177],[-3.02157646799072,53.8265562700099],[-3.0188918521099,53.8285440645151],[-3.01460762365386,53.8258755549894],[-3.01069935684056,53.8270876051624],[-3.01065272465849,53.8261937622331],[-2.99501447817488,53.8184912858216],[-2.99449843318636,53.8176570487957],[-2.99931337188384,53.8170740929423],[-3.006134404307,53.822453022331],[-3.00826925722612,53.8175212834618],[-3.01644543479094,53.8176284448953],[-3.01966070835372,53.8204935892602],[-3.02604898500399,53.8187626647889],[-3.03109252324931,53.8159885561727],[-3.0370891369007,53.8167223575155],[-3.03869458042664,53.818609963618],[-3.03703334992938,53.8206533369495],[-3.03650425620495,53.8209822461607],[-3.03354811415869,53.8225962959054],[-3.03427370888619,53.8251231850594],[-3.03475247038754,53.8254676932725],[-3.03798251214242,53.8282132188874],[-3.03596022465411,53.8304564363775]]],""type"":""Polygon""}"
E02002642,"{""coordinates"":[[[-3.03703334992938,53.8206533369495],[-3.03869458042664,53.818609963618],[-3.0370891369007,53.8167223575155],[-3.03709434065237,53.8166855142871],[-3.04057095462171,53.8143595264153],[-3.04332885471061,53.8136384225289],[-3.04349297687047,53.8135953792682],[-3.04408882729224,53.8134391492498],[-3.04774464762612,53.8124946091065],[-3.04532327885949,53.8092244624657],[-3.0451819371839,53.809123348912],[-3.04581143229769,53.8078912928286],[-3.04799618123715,53.8094203939373],[-3.05558788181284,53.8097286343942],[-3.05547005904142,53.811209278998],[-3.05621591810879,53.8111967222574],[-3.05662534044369,53.8191644722829],[-3.05579617802318,53.8189214814112],[-3.04746756264775,53.8223858050142],[-3.04474520469405,53.8201612059354],[-3.03958007587048,53.8232253995041],[-3.03703334992938,53.8206533369495]]],""type"":""Polygon""}"
E02002643,"{""coordinates"":[[[-3.03612728325352,53.8050663304391],[-3.03666138601351,53.8050199808257],[-3.04012321811534,53.8061649693515],[-3.0451819371839,53.809123348912],[-3.04532327885949,53.8092244624657],[-3.04774464762612,53.8124946091065],[-3.04408882729224,53.8134391492498],[-3.04349297687047,53.8135953792682],[-3.04332885471061,53.8136384225289],[-3.04057095462171,53.8143595264153],[-3.03709434065237,53.8166855142871],[-3.0370891369007,53.8167223575155],[-3.03109252324931,53.8159885561727],[-3.02980236683499,53.8134264603831],[-3.03439509116877,53.8124849707906],[-3.03622555822585,53.8085496465885],[-3.03413267896503,53.806815040387],[-3.03612728325352,53.8050663304391]]],""type"":""Polygon""}"
E02002644,"{""coordinates"":[[[-3.006134404307,53.822453022331],[-2.99931337188384,53.8170740929423],[-3.00321845522419,53.8174517980379],[-3.00096056904781,53.8114784413407],[-3.01186937801086,53.8073537429788],[-3.01038139293884,53.8047591123263],[-3.01494896865393,53.8053977041029],[-3.0166043958629,53.8040222073956],[-3.01890545175355,53.8043692584714],[-3.02298112502472,53.8043112179169],[-3.02411381005916,53.8042075081428],[-3.02700148750536,53.8039057740551],[-3.03105097236897,53.8018423787082],[-3.03612728325352,53.8050663304391],[-3.03413267896503,53.806815040387],[-3.03622555822585,53.8085496465885],[-3.03439509116877,53.8124849707906],[-3.02980236683499,53.8134264603831],[-3.03109252173069,53.8159885561858],[-3.02604898500399,53.8187626647889],[-3.01966070835372,53.8204935892602],[-3.01644543479094,53.8176284448953],[-3.00826925722612,53.8175212834618],[-3.006134404307,53.822453022331]]],""type"":""Polygon""}"
E02002645,"{""coordinates"":[[[-3.04836674966052,53.7990055792589],[-3.04600365172302,53.7953505124596],[-3.04966928029038,53.7949547264423],[-3.05329072601548,53.7938126371332],[-3.05579627774868,53.7984726628229],[-3.05731397616947,53.7984225354932],[-3.05621591810879,53.8111967222574],[-3.05547005904142,53.811209278998],[-3.05558788181284,53.8097286343942],[-3.04799618123715,53.8094203939373],[-3.04581143229769,53.8078912928286],[-3.04461517459,53.8028063974254],[-3.0432366621356,53.799443948908],[-3.04836674966052,53.7990055792589]]],""type"":""Polygon""}"
E02002646,"{""coordinates"":[[[-2.99449843318636,53.8176570487957],[-2.99443723579859,53.8144861860276],[-2.98649278284966,53.802199613529],[-2.9895274284996,53.8004134198192],[-2.98461060416681,53.7937772024555],[-2.99937564433579,53.7941717359023],[-3.00177341822615,53.7941384166301],[-3.0169368562371,53.7930930724882],[-3.02180430834456,53.7966933960506],[-3.01581753969723,53.7979833429956],[-3.01623408648003,53.8014490029886],[-3.01890545175355,53.8043692584714],[-3.0166043958629,53.8040222073956],[-3.01494896865393,53.8053977041029],[-3.01038139293884,53.8047591123263],[-3.01186937801086,53.8073537429788],[-3.00096056904781,53.8114784413407],[-3.00321845522419,53.8174517980379],[-2.99931337188384,53.8170740929423],[-2.99449843318636,53.8176570487957]]],""type"":""Polygon""}"
E02002647,"{""coordinates"":[[[-3.04012321811534,53.8061649693515],[-3.03666138601351,53.8050199808257],[-3.03612728325352,53.8050663304391],[-3.03105097236897,53.8018423787082],[-3.03120086872989,53.8017607370445],[-3.02869519293877,53.7999498443699],[-3.03001492672666,53.7964797171053],[-3.03836054110671,53.7950482831542],[-3.04013135245019,53.7931241524369],[-3.04022012830685,53.7931415956246],[-3.04549867262368,53.7950232583893],[-3.04600365172302,53.7953505124596],[-3.04836674966052,53.7990055792589],[-3.0432366621356,53.799443948908],[-3.04461517459,53.8028063974254],[-3.04581143229769,53.8078912928286],[-3.0451819371839,53.809123348912],[-3.04012321811534,53.8061649693515]]],""type"":""Polygon""}"
